Home,Visitor,Visitor_Score,Home_Score
Buffalo,Bowling Green,28,38
Central Florida,Connecticut,24,49
Central Mich.,Eastern Mich.,30,42
Charlotte,Middle Tenn.,35,21
Cincinnati,Temple,35,24
Clemson,Florida St.,14,31
Coastal Carolina,Troy St.,42,17
Colorado,USC,38,24
Colorado St.,Boise St.,59,52
East Carolina,Tulane,31,24
Florida Intl.,Old Dominion,37,30
Georgia Tech,Virginia Tech,22,28
Hawaii,Fresno St.,31,21
Illinois,Indiana,24,14
Iowa St.,Oklahoma St.,49,42
Kansas St.,West Va.,28,23
LSU,Arkansas,10,33
Louisiana Tech,Florida Atlantic,48,23
Louisville,Virginia,21,38
Marshall,Western Kentucky,23,30
Maryland,Michigan,35,10
Miami (Fla.),Notre Dame,8,41
Miami (Ohio),Akron,14,24
Minnesota,Nebraska,21,54
Mississippi,Louisiana-Lafayette,22,50
Mississippi St.,Alabama,31,24
Missouri,Tennessee,17,50
Navy,SMU,40,43
Nevada,San Jose St.,14,59
North Texas,UTEP,10,45
Northern Ill.,Ball St.,17,63
Northwestern,Purdue,13,23
Ohio,Toledo,10,38
Ohio St.,Michigan St.,3,48
Oklahoma,TCU,20,38
Penn St.,Rutgers,6,35
Pittsburgh,North Carolina,34,31
Rice,Southern Miss.,43,34
South Alabama,Arkansas St.,19,24
South Carolina,Florida,20,28
Stanford,Washington,22,30
Syracuse,Wake Forest,64,43
Texas,Kansas,27,42
Texas A&M,New Mexico,14,55
Texas St.,Georgia St.,33,30
Texas-San Antonio,UAB,24,19
UCLA,Arizona St.,37,44
UNLV,BYU,31,21
Utah,Washington St.,33,25
Vanderbilt,Kentucky,44,21
Western Mich.,Kent,20,48
Wisconsin,Iowa,14,38
Akron,Ohio,34,37
Arkansas,Mississippi St.,28,21
Arkansas St.,Texas St.,12,30
Auburn,Louisiana-Monroe,14,42
BYU,Massachusetts,16,10
Ball St.,Buffalo,40,24
Baylor,Iowa St.,23,13
Boise St.,Air Force,19,44
Boston College,Connecticut,16,39
Bowling Green,Toledo,66,37
Colorado St.,San Jose St.,14,42
Duke,Georgia Tech,20,43
East Carolina,Cincinnati,20,48
Florida,UAB,7,36
Florida Atlantic,Florida Intl.,24,52
Georgia,Kentucky,13,42
Georgia Southern,South Alabama,0,52
Idaho,Coastal Carolina,13,7
Indiana,Rutgers,0,41
Iowa,Purdue,24,15
Kansas,Oklahoma,41,3
Kent,Central Mich.,42,23
Louisiana-Lafayette,New Mexico St.,34,47
Louisville,Syracuse,10,56
Memphis,SMU,45,66
Miami (Fla.),Virginia,28,44
Miami (Ohio),Eastern Mich.,27,24
Michigan St.,Maryland,7,17
Mississippi,Texas A&M,31,24
New Mexico,UNLV,38,35
North Texas,Army,49,52
Northern Ill.,Western Mich.,31,35
Northwestern,Minnesota,0,39
Notre Dame,Navy,17,24
Ohio St.,Illinois,14,52
Oklahoma St.,Kansas St.,45,40
Old Dominion,Rice,21,24
Oregon,Arizona,28,48
Oregon St.,Arizona St.,40,24
Penn St.,Nebraska,44,56
San Diego St.,Nevada,23,42
South Florida,Tulsa,20,27
Southern Miss.,Charlotte,21,66
Stanford,California,14,17
Temple,Central Florida,45,19
Tennessee,LSU,30,10
Texas Tech,TCU,27,3
Texas-San Antonio,Marshall,7,9
Tulane,Houston,17,20
USC,UCLA,23,28
UTEP,Louisiana Tech,42,21
Utah St.,Hawaii,0,38
Vanderbilt,Missouri,45,17
Virginia Tech,Pittsburgh,14,20
Wake Forest,NC St.,24,30
Washington,Utah,30,33
West Va.,Texas,28,14
Western Kentucky,Middle Tenn.,38,41
Wisconsin,Michigan,10,24
Wyoming,Fresno St.,13,7
Air Force,Utah St.,35,38
Akron,Kent,14,24
Arizona St.,Arizona,30,42
Arkansas,Missouri,48,45
Auburn,Alabama,14,26
Ball St.,Miami (Ohio),28,7
Buffalo,Ohio,24,31
Central Florida,South Florida,42,49
Central Mich.,Northern Ill.,24,31
Charlotte,Florida Atlantic,31,12
Cincinnati,Connecticut,21,22
Eastern Mich.,Bowling Green,31,34
Florida,Florida St.,38,22
Florida Intl.,Western Kentucky,17,41
Fresno St.,Boise St.,17,28
Georgia St.,Appalachian St.,31,10
Georgia Tech,Georgia,38,7
Hawaii,BYU,30,20
Houston,Navy,14,24
Illinois,Northwestern,42,7
Kansas St.,Iowa St.,19,20
Kentucky,Louisville,44,17
LSU,Texas A&M,21,45
Louisiana Tech,Texas-San Antonio,6,20
Louisiana-Lafayette,Georgia Southern,34,24
Louisiana-Monroe,Arkansas St.,67,50
Marshall,Southern Miss.,28,27
Maryland,Penn St.,66,3
Memphis,East Carolina,13,70
Michigan,Ohio St.,31,20
Middle Tenn.,Old Dominion,10,41
Minnesota,Wisconsin,31,0
Mississippi St.,Mississippi,31,28
NC St.,North Carolina,21,33
Nebraska,Iowa,56,14
Nevada,UNLV,16,23
New Mexico St.,Idaho,10,17
Oklahoma,West Va.,31,59
Oklahoma St.,Kansas,17,58
Oregon,Oregon St.,10,69
Pittsburgh,Miami (Fla.),14,24
Purdue,Indiana,24,31
Rice,North Texas,30,14
Rutgers,Michigan St.,40,7
SMU,Tulane,38,41
San Diego St.,New Mexico,10,35
San Jose St.,Wyoming,17,20
South Carolina,Clemson,34,10
Stanford,Notre Dame,20,38
Syracuse,Boston College,42,14
TCU,Baylor,22,45
Tennessee,Vanderbilt,42,24
Texas,Texas Tech,27,23
Toledo,Western Mich.,10,37
Troy St.,Texas St.,9,62
Tulsa,Temple,43,22
UAB,UTEP,7,28
UCLA,California,27,30
Utah,Colorado,13,34
Virginia,Virginia Tech,10,0
Wake Forest,Duke,31,23
Washington,Washington St.,14,41
Appalachian St.,Louisiana-Lafayette,14,63
Arkansas St.,Troy St.,32,25
Auburn,Georgia,28,7
Boise St.,Fresno St.,14,17
Central Florida,Memphis,55,62
Clemson,Miami (Fla.),3,38
Coastal Carolina,Georgia Southern,17,28
Florida Atlantic,North Texas,17,41
Florida Intl.,Massachusetts,45,63
Florida St.,Louisiana-Monroe,10,42
Georgia St.,Idaho,24,10
New Mexico St.,South Alabama,17,22
Oklahoma,TCU,17,41
Toledo,Akron,28,45
USC,Stanford,28,31
Wisconsin,Ohio St.,27,21
Navy,Army,14,13
Arizona,Purdue,38,35
Arizona St.,NC St.,52,31
Arkansas St.,Middle Tenn.,35,30
Auburn,Central Florida,34,27
Boise St.,Oregon,28,38
Clemson,Alabama,24,6
Colorado St.,Marshall,31,28
Duke,Northern Ill.,14,36
Florida Atlantic,Akron,3,50
Florida Intl.,Temple,28,3
Florida St.,Southern Miss.,13,42
Fresno St.,Houston,27,33
Iowa,Boston College,20,27
Memphis,Iowa St.,21,20
Miami (Fla.),Wisconsin,34,24
Michigan,South Carolina,26,19
Mississippi St.,Louisville,27,31
Navy,Virginia,7,49
New Mexico St.,Utah St.,20,26
Northwestern,Kentucky,23,24
Notre Dame,LSU,17,21
Ohio,UAB,6,41
Ohio St.,USC,7,24
Oklahoma,Georgia,54,48
Oklahoma St.,Virginia Tech,21,30
Penn St.,Washington,28,35
SMU,Louisiana Tech,51,10
San Diego St.,Army,42,35
South Florida,Texas Tech,34,38
TCU,Stanford,37,39
Texas,Missouri,16,33
Toledo,Appalachian St.,34,0
Troy St.,North Texas,30,50
UCLA,Kansas St.,35,17
Wake Forest,Texas A&M,52,55
Washington St.,Michigan St.,42,17
West Va.,Utah,30,14
Western Kentucky,Georgia St.,27,17
Wyoming,Central Mich.,14,37
Georgia,Alabama,26,23
